CustomerID,Country,TotalRevenue,OrderCount
12347.0,Iceland,1764.08,7
12348.0,Finland,586.76,3
12349.0,Italy,801.4,1
12350.0,Norway,20.4,1
12352.0,Norway,662.89,8
12353.0,Bahrain,89.0,1
12354.0,Spain,413.09999999999997,1
12355.0,Bahrain,138.10000000000002,1
12356.0,Portugal,2325.03,3
12357.0,Switzerland,2753.52,1
12358.0,Austria,82.72,2
12359.0,Cyprus,2387.59,6
12360.0,Austria,1266.18,3
12361.0,Belgium,155.1,1
12362.0,Belgium,2761.33,13
12364.0,Belgium,486.7,3
12365.0,Cyprus,170.04000000000002,1
12367.0,Denmark,107.39999999999999,1
12370.0,Austria,111.6,1
12370.0,Cyprus,1566.97,3
12371.0,Switzerland,613.13,1
12372.0,Denmark,631.2,3
12373.0,Austria,304.8,1
12374.0,Austria,428.38,1
12375.0,Finland,297.98,3
12377.0,Switzerland,423.9,2
12378.0,Switzerland,1792.43,1
12379.0,Belgium,395.25,3
12380.0,Belgium,1487.56,5
12381.0,Norway,926.45,4
12383.0,Belgium,570.2,4
12384.0,Switzerland,278.7,3
12386.0,Australia,60.900000000000006,1
12388.0,Australia,1465.63,6
12390.0,Belgium,240.5,1
12391.0,Cyprus,206.70000000000002,1
12393.0,Australia,936.6,3
12394.0,Belgium,90.1,1
12394.0,Denmark,729.4,1
12395.0,Belgium,1533.1100000000001,14
12397.0,Belgium,1177.97,2
12398.0,Switzerland,438.24,1
12399.0,Belgium,724.62,4
12401.0,Belgium,36.45,1
12402.0,Belgium,174.0,1
12405.0,Finland,659.73,1
12406.0,Denmark,1560.19,2
12407.0,Belgium,1164.34,5
12408.0,Belgium,1355.95,7
12409.0,Switzerland,5502.16,2
12410.0,Switzerland,145.38,1
12412.0,Denmark,495.62,3
12413.0,France,458.15000000000003,4
12414.0,Austria,142.8,1
12415.0,Australia,61530.72,18
12417.0,Belgium,1126.19,9
12417.0,Spain,316.9,1
12418.0,Switzerland,306.04,1
12420.0,Cyprus,341.84999999999997,1
12421.0,Spain,432.61,4
12422.0,Australia,386.2,2
12422.0,Switzerland,145.8,1
12423.0,Belgium,776.16,8
12424.0,Australia,857.41,2
12425.0,Portugal,466.21000000000004,1
12426.0,Germany,212.70000000000002,1
12427.0,Germany,398.36,4
12428.0,Finland,3211.27,9
12429.0,Austria,107.7,1
12429.0,Denmark,883.6,3
12430.0,Norway,82.2,1
12431.0,Australia,2151.4,13
12431.0,Belgium,577.0,2
12432.0,Norway,1309.7,3
12433.0,Norway,3867.08,6
12434.0,Australia,240.2,3
12435.0,Denmark,2845.0,2
12436.0,Norway,217.26,1
12437.0,France,3046.62,19
12438.0,Norway,931.49,2
12441.0,France,88.65,1
12442.0,Spain,65.4,1
12444.0,Norway,1252.53,5
12446.0,South Africa,483.17,1
12447.0,Belgium,160.9,1
12448.0,Spain,155.64,1
12449.0,Belgium,1107.73,4
12450.0,Spain,177.72,2
12451.0,Switzerland,3757.79,5
12452.0,Switzerland,57.7,1
12453.0,Austria,356.75,1
12454.0,Spain,1009.5999999999999,2
12455.0,Cyprus,1130.78,1
12455.0,Spain,419.9,3
12456.0,Switzerland,966.1899999999999,3
12457.0,Switzerland,1116.3,7
12458.0,Switzerland,499.62,2
12461.0,Switzerland,242.57,1
12462.0,Spain,601.4,4
