CustomerID,InvoiceNo,OrderRevenue,OrderQuantity,OrderDate
12347.0,537626,185.05,147.0,2010-12-07 14:57:00
12347.0,542237,221.49,167.0,2011-01-26 14:30:00
12347.0,549222,215.35,189.0,2011-04-07 10:43:00
12347.0,556201,180.7,82.0,2011-06-09 13:01:00
12347.0,562032,253.95,165.0,2011-08-02 08:48:00
12347.0,573511,685.76,444.0,2011-10-31 12:25:00
12347.0,581180,21.78,26.0,2011-12-07 15:52:00
12348.0,539318,507.59999999999997,896.0,2010-12-16 19:09:00
12348.0,541998,62.16,124.0,2011-01-25 10:42:00
12348.0,548955,17.0,20.0,2011-04-05 10:47:00
12349.0,577609,801.4,334.0,2011-11-21 09:51:00
12350.0,543037,20.4,24.0,2011-02-02 16:01:00
12352.0,544156,96.9,30.0,2011-02-16 12:33:00
12352.0,545323,34.65,15.0,2011-03-01 14:57:00
12352.0,546869,69.92999999999999,39.0,2011-03-17 16:00:00
12352.0,547390,69.93,39.0,2011-03-22 16:08:00
12352.0,567505,150.8,48.0,2011-09-20 14:34:00
12352.0,568699,110.05,19.0,2011-09-28 14:58:00
12352.0,574275,60.699999999999996,50.0,2011-11-03 14:37:00
12352.0,C547388,69.93,39.0,2011-03-22 16:07:00
12353.0,553900,89.0,20.0,2011-05-19 17:47:00
12354.0,550911,413.09999999999997,162.0,2011-04-21 13:11:00
12355.0,552449,138.10000000000002,30.0,2011-05-09 13:49:00
12356.0,541430,1887.62,1698.0,2011-01-18 09:50:00
12356.0,549435,379.06,294.0,2011-04-08 12:33:00
12356.0,576895,58.349999999999994,5.0,2011-11-17 08:40:00
12357.0,574740,2753.52,1430.0,2011-11-06 16:07:00
12358.0,559707,68.67999999999999,20.0,2011-07-12 10:04:00
12358.0,581232,14.04,100.0,2011-12-08 10:26:00
12359.0,540946,131.4,72.0,2011-01-12 12:43:00
12359.0,543370,439.45,105.0,2011-02-07 14:51:00
12359.0,555477,519.35,157.0,2011-06-03 12:26:00
12359.0,571034,1218.74,324.0,2011-10-13 12:47:00
12359.0,C549955,29.9,2.0,2011-04-13 13:38:00
12359.0,C580165,48.75,5.0,2011-12-02 11:21:00
12360.0,554132,467.76,220.0,2011-05-23 09:43:00
12360.0,563749,277.84000000000003,104.0,2011-08-19 10:10:00
12360.0,571705,520.58,272.0,2011-10-18 15:22:00
12361.0,545017,155.1,78.0,2011-02-25 13:51:00
12362.0,544203,146.7,70.0,2011-02-17 10:30:00
12362.0,551346,260.08,152.0,2011-04-28 09:12:00
12362.0,559295,157.33,65.0,2011-07-07 12:32:00
12362.0,563037,219.03,131.0,2011-08-11 15:02:00
12362.0,568651,370.65000000000003,221.0,2011-09-28 12:04:00
12362.0,570667,325.8,160.0,2011-10-11 14:33:00
12362.0,572887,343.95,101.0,2011-10-26 13:47:00
12362.0,573173,302.33,95.0,2011-10-28 10:10:00
12362.0,574329,321.76,128.0,2011-11-04 09:07:00
12362.0,580979,245.0,122.0,2011-12-06 15:40:00
12362.0,C544902,1.95,1.0,2011-02-24 13:05:00
12362.0,C563752,17.9,8.0,2011-08-19 10:38:00
12362.0,C579178,48.85,7.0,2011-11-28 14:55:00
12364.0,563854,365.3,390.0,2011-08-19 15:24:00
12364.0,573401,65.6,80.0,2011-10-30 15:43:00
12364.0,580152,55.8,74.0,2011-12-02 10:22:00
12365.0,544574,170.04000000000002,76.0,2011-02-21 13:51:00
12367.0,580716,107.39999999999999,60.0,2011-12-05 16:48:00
12370.0,538826,845.1999999999999,640.0,2010-12-14 12:58:00
12370.0,539330,111.6,24.0,2010-12-17 09:38:00
12370.0,546236,282.75,85.0,2011-03-10 12:48:00
12370.0,571905,439.02,404.0,2011-10-19 14:51:00
12371.0,570521,613.13,215.0,2011-10-11 10:43:00
12372.0,544157,207.7,86.0,2011-02-16 12:46:00
12372.0,552731,295.20000000000005,139.0,2011-05-11 10:43:00
12372.0,568872,128.3,58.0,2011-09-29 12:12:00
12373.0,542887,304.8,254.0,2011-02-01 13:10:00
12374.0,576345,428.38,212.0,2011-11-14 15:37:00
12375.0,565333,108.7,70.0,2011-09-02 14:23:00
12375.0,579281,187.20000000000002,160.0,2011-11-29 10:36:00
12375.0,C581071,2.08,1.0,2011-12-07 11:27:00
12377.0,539488,295.2,120.0,2010-12-20 09:37:00
12377.0,542586,128.7,58.0,2011-01-28 15:45:00
12378.0,562046,1792.43,1097.0,2011-08-02 10:34:00
12379.0,557789,140.4,80.0,2011-06-22 16:32:00
12379.0,567196,252.9,134.0,2011-09-19 10:09:00
12379.0,C559193,1.95,1.0,2011-07-07 10:26:00
12380.0,555739,393.15000000000003,224.0,2011-06-07 09:49:00
12380.0,567928,403.66,190.0,2011-09-22 17:31:00
12380.0,571187,212.9,122.0,2011-10-14 11:39:00
12380.0,577180,473.6,182.0,2011-11-18 11:27:00
12380.0,C572532,4.25,1.0,2011-10-24 16:03:00
12381.0,563100,591.65,394.0,2011-08-12 09:57:00
12381.0,574694,240.9,100.0,2011-11-06 13:36:00
12381.0,580638,82.05,79.0,2011-12-05 12:44:00
12381.0,C565050,11.85,3.0,2011-08-31 17:10:00
12383.0,539840,316.92,400.0,2010-12-22 14:28:00
12383.0,540971,181.98,196.0,2011-01-12 14:10:00
12383.0,546434,48.60000000000001,20.0,2011-03-14 08:41:00
12383.0,555928,22.7,13.0,2011-06-08 08:02:00
12384.0,562882,181.79000000000002,54.0,2011-08-10 11:23:00
12384.0,575734,85.3,20.0,2011-11-11 08:39:00
12384.0,C567540,11.61,3.0,2011-09-21 10:00:00
12386.0,537676,60.900000000000006,106.0,2010-12-08 09:53:00
12388.0,541271,223.65,99.0,2011-01-17 11:12:00
12388.0,543357,70.2,24.0,2011-02-07 13:59:00
12388.0,546135,90.30000000000001,42.0,2011-03-09 15:47:00
12388.0,560033,372.36,244.0,2011-07-14 13:28:00
12388.0,568145,538.88,520.0,2011-09-25 11:30:00
12388.0,578459,170.24,180.0,2011-11-24 12:30:00
12390.0,567530,240.5,222.0,2011-09-21 09:33:00
12391.0,577228,206.70000000000002,104.0,2011-11-18 12:07:00
12393.0,540700,324.6,164.0,2011-01-11 09:47:00
12393.0,549313,346.2,478.0,2011-04-08 09:45:00
12393.0,568708,265.8,248.0,2011-09-28 15:41:00
12394.0,552188,90.1,38.0,2011-05-06 14:01:00
12394.0,569997,729.4,500.0,2011-10-07 08:08:00
12395.0,537026,290.3,558.0,2010-12-03 16:35:00
12395.0,539447,123.61,91.0,2010-12-17 16:00:00
12395.0,543733,62.85,27.0,2011-02-11 12:16:00
12395.0,547517,220.9,258.0,2011-03-23 14:33:00
12395.0,551985,70.05000000000001,23.0,2011-05-05 14:38:00
12395.0,552884,15.0,12.0,2011-05-12 10:15:00
12395.0,558623,118.9,94.0,2011-06-30 16:52:00
12395.0,563852,96.0,32.0,2011-08-19 15:18:00
12395.0,569496,154.5,30.0,2011-10-04 13:45:00
12395.0,575151,139.3,78.0,2011-11-08 16:12:00
12395.0,575154,50.75,33.0,2011-11-08 16:15:00
12395.0,577551,173.55,105.0,2011-11-20 15:21:00
12395.0,C544419,14.85,3.0,2011-02-18 15:16:00
12395.0,C578432,2.55,1.0,2011-11-24 12:20:00
12397.0,561507,643.72,334.0,2011-07-27 14:21:00
12397.0,574336,534.25,235.0,2011-11-04 09:52:00
12398.0,572567,438.24,455.0,2011-10-25 10:27:00
12399.0,547412,202.73,243.0,2011-03-23 09:42:00
12399.0,552543,319.34999999999997,775.0,2011-05-10 10:22:00
12399.0,556203,90.12,124.0,2011-06-09 13:09:00
12399.0,563172,112.42,160.0,2011-08-12 13:15:00
12401.0,543537,36.45,3.0,2011-02-09 13:50:00
12402.0,541675,174.0,80.0,2011-01-20 13:49:00
12405.0,559928,659.73,405.0,2011-07-14 08:52:00
12406.0,556127,675.85,377.0,2011-06-09 10:23:00
12406.0,577126,884.34,716.0,2011-11-17 19:22:00
12407.0,547061,193.89999999999998,202.0,2011-03-20 13:21:00
12407.0,550440,214.66,286.0,2011-04-18 12:25:00
12407.0,559058,447.18,380.0,2011-07-06 09:49:00
12407.0,561662,162.34,122.0,2011-07-28 16:28:00
12407.0,572133,146.26,97.0,2011-10-21 10:11:00
12408.0,547684,273.05,115.0,2011-03-24 14:46:00
12408.0,547685,57.0,20.0,2011-03-24 14:47:00
12408.0,557147,406.74,218.0,2011-06-17 10:51:00
12408.0,565246,457.8,366.0,2011-09-02 10:27:00
12408.0,574862,141.48,144.0,2011-11-07 12:27:00
12408.0,C549253,5.03,2.0,2011-04-07 12:20:00
12408.0,C549533,14.85,3.0,2011-04-08 17:08:00
12409.0,556415,2754.16,1552.0,2011-06-10 12:19:00
12409.0,567721,2748.0,1812.0,2011-09-22 10:38:00
12410.0,543180,145.38,86.0,2011-02-04 10:38:00
12412.0,557889,268.62,154.0,2011-06-23 13:51:00
12412.0,561102,93.84,76.0,2011-07-25 11:17:00
12412.0,568223,133.16000000000003,54.0,2011-09-26 10:16:00
12413.0,540365,241.5,110.0,2011-01-06 16:12:00
12413.0,550338,50.3,20.0,2011-04-17 15:33:00
12413.0,569402,156.4,68.0,2011-10-04 09:00:00
12413.0,C540853,9.95,1.0,2011-01-12 09:52:00
12414.0,550998,142.8,64.0,2011-04-26 09:12:00
12415.0,540267,2922.2,740.0,2011-01-06 11:12:00
12415.0,543989,9397.44,3304.0,2011-02-15 09:52:00
12415.0,545475,7168.92,2316.0,2011-03-03 10:59:00
12415.0,553546,3182.1,1352.0,2011-05-17 15:42:00
12415.0,554037,418.6,200.0,2011-05-20 14:13:00
12415.0,556917,13326.46,6396.0,2011-06-15 13:37:00
12415.0,559919,1813.56,700.0,2011-07-13 15:30:00
12415.0,559920,61.2,24.0,2011-07-13 15:31:00
12415.0,560491,110.35,137.0,2011-07-19 10:51:00
12415.0,563614,13862.2,4916.0,2011-08-18 08:51:00
12415.0,565145,734.52,300.0,2011-09-01 13:50:00
12415.0,569647,828.0,100.0,2011-10-05 12:35:00
12415.0,569650,4701.96,2024.0,2011-10-05 12:44:00
12415.0,574014,624.24,100.0,2011-11-02 12:03:00
12415.0,574138,203.4,324.0,2011-11-03 11:26:00
12415.0,576394,1896.52,1510.0,2011-11-15 10:32:00
12415.0,C545525,168.7,124.0,2011-03-03 13:11:00
12415.0,C560540,110.35,137.0,2011-07-19 12:26:00
12417.0,539391,105.8,12.0,2010-12-17 11:51:00
12417.0,541991,153.14,46.0,2011-01-25 09:11:00
12417.0,545536,130.8,32.0,2011-03-03 14:12:00
12417.0,551398,316.9,228.0,2011-04-28 13:09:00
12417.0,555574,162.69,71.0,2011-06-05 15:46:00
12417.0,562445,121.03,57.0,2011-08-04 18:51:00
12417.0,564378,131.3,38.0,2011-08-25 10:26:00
12417.0,573656,136.15,29.0,2011-10-31 16:02:00
12417.0,580965,175.33,78.0,2011-12-06 14:52:00
12417.0,C540386,9.95,1.0,2011-01-06 17:57:00
12418.0,563756,306.04,54.0,2011-08-19 11:08:00
12420.0,570000,341.84999999999997,183.0,2011-10-07 08:55:00
12421.0,541980,79.68,56.0,2011-01-24 15:09:00
12421.0,557297,114.77000000000001,143.0,2011-06-19 13:54:00
12421.0,563518,125.6,84.0,2011-08-17 10:56:00
12421.0,578339,112.56,52.0,2011-11-24 09:07:00
12422.0,541520,238.5,113.0,2011-01-19 09:13:00
12422.0,558041,145.8,96.0,2011-06-24 13:20:00
12422.0,565466,147.7,82.0,2011-09-05 09:48:00
12423.0,539676,87.95,61.0,2010-12-21 10:54:00
12423.0,544474,101.23,73.0,2011-02-21 09:52:00
12423.0,547109,212.20000000000002,92.0,2011-03-21 11:46:00
12423.0,549249,95.46000000000001,42.0,2011-04-07 12:04:00
12423.0,554147,122.9,68.0,2011-05-23 10:48:00
12423.0,555161,17.0,20.0,2011-06-01 09:26:00
12423.0,564853,39.38,38.0,2011-08-31 08:55:00
12423.0,581493,100.04,112.0,2011-12-09 10:10:00
12424.0,558536,583.62,380.0,2011-06-30 12:06:00
12424.0,558537,273.78999999999996,213.0,2011-06-30 12:06:00
12425.0,567929,466.21000000000004,319.0,2011-09-22 17:31:00
12426.0,554985,212.70000000000002,70.0,2011-05-29 12:26:00
12427.0,536861,168.8,40.0,2010-12-03 10:44:00
12427.0,570452,79.98,36.0,2011-10-10 15:15:00
12427.0,577135,100.28,26.0,2011-11-18 08:56:00
12427.0,C539866,49.3,6.0,2010-12-23 10:20:00
12428.0,545226,834.1,376.0,2011-03-01 09:33:00
12428.0,545227,1338.13,520.0,2011-03-01 09:35:00
12428.0,548363,19.92,24.0,2011-03-30 15:48:00
12428.0,549588,131.22,104.0,2011-04-11 10:04:00
12428.0,559004,289.2,138.0,2011-07-05 12:23:00
12428.0,563020,377.8,192.0,2011-08-11 12:58:00
12428.0,576082,208.0,100.0,2011-11-14 08:22:00
12428.0,C547234,7.95,1.0,2011-03-21 16:21:00
12428.0,C564108,4.95,1.0,2011-08-23 10:42:00
12429.0,538003,412.8,252.0,2010-12-09 12:05:00
12429.0,551054,107.7,74.0,2011-04-26 11:44:00
12429.0,557427,306.64,180.0,2011-06-20 12:14:00
12429.0,579881,164.16,144.0,2011-11-30 17:22:00
12430.0,573108,82.2,32.0,2011-10-27 15:09:00
12431.0,536389,169.1,64.0,2010-12-01 10:03:00
12431.0,539419,185.7,82.0,2010-12-17 14:10:00
12431.0,542542,43.5,26.0,2011-01-28 14:37:00
12431.0,544193,335.4,156.0,2011-02-17 08:23:00
12431.0,545065,44.25,15.0,2011-02-27 14:43:00
12431.0,552956,377.09000000000003,123.0,2011-05-12 12:34:00
12431.0,554126,211.79000000000002,149.0,2011-05-23 09:14:00
12431.0,560473,289.44,108.0,2011-07-19 10:42:00
12431.0,561040,334.76,196.0,2011-07-24 12:05:00
12431.0,563179,155.76,74.0,2011-08-12 14:19:00
12431.0,569722,268.55,90.0,2011-10-06 09:31:00
12431.0,569723,33.3,12.0,2011-10-06 09:32:00
12431.0,570446,241.60000000000002,110.0,2011-10-10 14:49:00
12431.0,574469,0.0,12.0,2011-11-04 11:55:00
12431.0,C561227,38.16,100.0,2011-07-26 10:15:00
12432.0,557472,1114.96,496.0,2011-06-20 13:27:00
12432.0,557474,29.5,14.0,2011-06-20 13:29:00
12432.0,573195,165.24,68.0,2011-10-28 11:40:00
12433.0,536532,411.88,444.0,2010-12-01 13:24:00
12433.0,537868,508.78000000000003,458.0,2010-12-08 16:49:00
12433.0,566195,995.1,610.0,2011-09-09 13:44:00
12433.0,573035,494.14000000000004,326.0,2011-10-27 13:43:00
12433.0,579692,728.59,357.0,2011-11-30 14:05:00
12433.0,581476,728.59,369.0,2011-12-09 08:48:00
12434.0,547659,15.9,2.0,2011-03-24 13:05:00
12434.0,567085,202.8,115.0,2011-09-16 12:38:00
12434.0,C538723,21.5,8.0,2010-12-14 11:12:00
12435.0,546780,1921.7999999999997,328.0,2011-03-17 07:40:00
12435.0,567526,923.2,500.0,2011-09-21 09:06:00
12436.0,565124,217.26,164.0,2011-09-01 12:09:00
12437.0,540972,274.5,47.0,2011-01-12 14:13:00
12437.0,543030,73.34,168.0,2011-02-02 15:22:00
12437.0,544817,153.4,240.0,2011-02-23 16:44:00
12437.0,544818,95.76,148.0,2011-02-23 16:45:00
