CustomerID,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Segment
12347.0,2,7,1764.08,4,4,4,12,Champion
12348.0,249,3,586.76,1,3,3,7,Potential Loyalist
12349.0,19,1,801.4,3,1,3,7,Potential Loyalist
12350.0,310,1,20.4,1,1,1,3,Hibernating
12352.0,36,8,662.89,3,4,3,10,Champion
12353.0,204,1,89.0,1,1,1,3,Hibernating
12354.0,232,1,413.09999999999997,1,1,3,5,At Risk
12355.0,214,1,138.10000000000002,1,1,2,4,At Risk
12356.0,23,3,2325.03,3,3,4,10,Champion
12357.0,33,1,2753.52,3,1,4,8,Loyal
12358.0,2,2,82.72,4,2,1,7,Potential Loyalist
12359.0,8,6,2387.59,4,4,4,12,Champion
12360.0,52,3,1266.18,2,3,4,9,Loyal
12361.0,287,1,155.1,1,1,2,4,At Risk
12362.0,3,13,2761.33,4,4,4,12,Champion
12364.0,8,3,486.7,4,3,3,10,Champion
12365.0,291,1,170.04000000000002,1,1,2,4,At Risk
12367.0,4,1,107.39999999999999,4,1,1,6,Potential Loyalist
12370.0,51,4,1678.57,2,3,4,9,Loyal
12371.0,60,1,613.13,2,1,3,6,Potential Loyalist
12372.0,72,3,631.2,2,3,3,8,Loyal
12373.0,311,1,304.8,1,1,2,4,At Risk
12374.0,25,1,428.38,3,1,3,7,Potential Loyalist
12375.0,3,3,297.98,4,3,2,9,Loyal
12377.0,315,2,423.9,1,2,3,6,Potential Loyalist
12378.0,130,1,1792.43,2,1,4,7,Potential Loyalist
12379.0,82,3,395.25,2,3,3,8,Loyal
12380.0,22,5,1487.56,3,3,4,10,Champion
12381.0,5,4,926.45,4,3,4,11,Champion
12383.0,185,4,570.2,1,3,3,7,Potential Loyalist
12384.0,29,3,278.7,3,3,2,8,Loyal
12386.0,367,1,60.900000000000006,1,1,1,3,Hibernating
12388.0,16,6,1465.63,4,4,4,12,Champion
12390.0,80,1,240.5,2,1,2,5,At Risk
12391.0,22,1,206.70000000000002,3,1,2,6,Potential Loyalist
12393.0,72,3,936.6,2,3,4,9,Loyal
12394.0,64,2,819.5,2,2,3,7,Potential Loyalist
12395.0,16,14,1533.1100000000001,4,4,4,12,Champion
12397.0,36,2,1177.97,3,2,4,9,Loyal
12398.0,46,1,438.24,3,1,3,7,Potential Loyalist
12399.0,119,4,724.62,2,3,3,8,Loyal
12401.0,303,1,36.45,1,1,1,3,Hibernating
12402.0,323,1,174.0,1,1,2,4,At Risk
12405.0,149,1,659.73,1,1,3,5,At Risk
12406.0,22,2,1560.19,3,2,4,9,Loyal
12407.0,50,5,1164.34,3,3,4,10,Champion
12408.0,33,7,1355.95,3,4,4,11,Champion
12409.0,79,2,5502.16,2,2,4,8,Loyal
12410.0,309,1,145.38,1,1,2,4,At Risk
12412.0,75,3,495.62,2,3,3,8,Loyal
12413.0,67,4,458.15000000000003,2,3,3,8,Loyal
12414.0,228,1,142.8,1,1,2,4,At Risk
12415.0,25,18,61530.72,3,4,4,11,Champion
12417.0,3,10,1443.09,4,4,4,12,Champion
12418.0,113,1,306.04,2,1,2,5,At Risk
12420.0,64,1,341.84999999999997,2,1,3,6,Potential Loyalist
12421.0,16,4,432.61,4,3,3,10,Champion
12422.0,96,3,532.0,2,3,3,8,Loyal
12423.0,1,8,776.16,4,4,3,11,Champion
12424.0,163,2,857.41,1,2,4,7,Potential Loyalist
12425.0,78,1,466.21000000000004,2,1,3,6,Potential Loyalist
12426.0,195,1,212.70000000000002,1,1,2,4,At Risk
12427.0,22,4,398.36,3,3,3,9,Loyal
12428.0,26,9,3211.27,3,4,4,11,Champion
12429.0,9,4,991.3000000000001,4,3,4,11,Champion
12430.0,43,1,82.2,3,1,1,5,At Risk
12431.0,36,15,2728.4,3,4,4,11,Champion
12432.0,43,3,1309.7,3,3,4,10,Champion
12433.0,1,6,3867.08,4,4,4,12,Champion
12434.0,85,3,240.2,2,3,2,7,Potential Loyalist
12435.0,80,2,2845.0,2,2,4,8,Loyal
12436.0,100,1,217.26,2,1,2,5,At Risk
12437.0,2,19,3046.62,4,4,4,12,Champion
12438.0,14,2,931.49,4,2,4,10,Champion
12441.0,367,1,88.65,1,1,1,3,Hibernating
12442.0,3,1,65.4,4,1,1,6,Potential Loyalist
12444.0,21,5,1252.53,3,3,4,10,Champion
12446.0,58,1,483.17,2,1,3,6,Potential Loyalist
12447.0,243,1,160.9,1,1,2,4,At Risk
12448.0,44,1,155.64,3,1,2,6,Potential Loyalist
12449.0,22,4,1107.73,3,3,4,10,Champion
12450.0,156,2,177.72,1,2,2,5,At Risk
12451.0,11,5,3757.79,4,3,4,11,Champion
12452.0,17,1,57.7,4,1,1,6,Potential Loyalist
12453.0,134,1,356.75,2,1,3,6,Potential Loyalist
12454.0,53,2,1009.5999999999999,2,2,4,8,Loyal
12455.0,73,4,1550.68,2,3,4,9,Loyal
12456.0,44,3,966.1899999999999,3,3,4,10,Champion
12457.0,86,7,1116.3,2,4,4,10,Champion
12458.0,71,2,499.62,2,2,3,7,Potential Loyalist
12461.0,155,1,242.57,1,1,2,4,At Risk
12462.0,2,4,601.4,4,3,3,10,Champion
12463.0,46,5,681.26,3,3,3,9,Loyal
12465.0,8,3,447.34999999999997,4,3,3,10,Champion
12468.0,143,3,307.55,2,3,2,7,Potential Loyalist
12471.0,2,37,10212.26,4,4,4,12,Champion
12472.0,32,12,2548.43,3,4,4,11,Champion
12473.0,54,4,1163.69,2,3,4,9,Loyal
12474.0,17,26,3064.2200000000003,4,4,4,12,Champion
12475.0,54,1,152.5,2,1,2,5,At Risk
12476.0,1,15,2228.12,4,4,4,12,Champion
12477.0,23,8,7700.1,3,4,4,11,Champion
12478.0,4,1,317.5,4,1,3,8,Loyal
12479.0,4,2,338.1,4,2,3,9,Loyal
12480.0,28,4,1628.16,3,3,4,10,Champion
12481.0,23,10,1686.24,3,4,4,11,Champion
12483.0,17,6,395.24,4,4,3,11,Champion
12484.0,35,6,2079.69,3,4,4,11,Champion
12488.0,10,3,507.84000000000003,4,3,3,10,Champion
12489.0,336,1,184.93,1,1,2,4,At Risk
12490.0,5,10,2630.27,4,4,4,12,Champion
12491.0,39,1,131.7,3,1,2,6,Potential Loyalist
12492.0,63,2,158.45,2,2,2,6,Potential Loyalist
12493.0,166,2,271.85,1,2,2,5,At Risk
12494.0,10,11,616.76,4,4,3,11,Champion
12498.0,21,2,230.45000000000002,3,2,2,7,Potential Loyalist
12500.0,23,11,1774.63,3,4,4,11,Champion
12501.0,315,2,905.1800000000001,1,2,4,7,Potential Loyalist
12502.0,96,5,1520.9,2,3,4,9,Loyal
12504.0,18,4,796.0999999999999,4,3,3,10,Champion
12506.0,233,1,40.55,1,1,1,3,Hibernating
12507.0,134,4,1053.96,2,3,4,9,Loyal
12508.0,26,2,218.88,3,2,2,7,Potential Loyalist
12509.0,284,1,109.0,1,1,1,3,Hibernating
12510.0,325,1,102.2,1,1,1,3,Hibernating
12512.0,66,1,49.07,2,1,1,4,At Risk
12513.0,85,2,423.89,2,2,3,7,Potential Loyalist
12514.0,267,1,491.7,1,1,3,5,At Risk
12515.0,353,1,234.0,1,1,2,4,At Risk
12516.0,78,2,1078.38,2,2,4,8,Loyal
12517.0,28,4,1208.95,3,3,4,10,Champion
12518.0,1,5,631.35,4,3,3,10,Champion
12519.0,64,1,163.24,2,1,2,5,At Risk
12520.0,79,6,980.9,2,4,4,10,Champion
12521.0,143,1,250.79,2,1,2,5,At Risk
12522.0,39,2,117.87,3,2,1,6,Potential Loyalist
12523.0,19,11,743.36,3,4,3,10,Champion
12524.0,9,8,2208.5,4,4,4,12,Champion
12526.0,1,3,608.84,4,3,3,10,Champion
12527.0,82,3,293.03000000000003,2,3,2,7,Potential Loyalist
12528.0,9,7,1543.48,4,4,4,12,Champion
12530.0,60,5,1043.58,2,3,4,9,Loyal
12531.0,15,1,56.76,4,1,1,6,Potential Loyalist
12532.0,30,1,161.85000000000002,3,1,2,6,Potential Loyalist
12534.0,131,1,332.5,2,1,3,6,Potential Loyalist
12535.0,92,2,385.8,2,2,3,7,Potential Loyalist
12536.0,8,2,1927.03,4,2,4,10,Champion
12538.0,29,1,198.95,3,1,2,6,Potential Loyalist
12539.0,22,4,3095.3,3,3,4,10,Champion
12540.0,20,19,4402.16,3,4,4,11,Champion
12541.0,30,3,518.24,3,3,3,9,Loyal
12544.0,30,2,147.74,3,2,2,7,Potential Loyalist
12545.0,75,2,525.1999999999999,2,2,3,7,Potential Loyalist
12546.0,47,2,525.28,3,2,3,8,Loyal
12547.0,198,2,91.8,1,2,1,4,At Risk
12548.0,166,1,67.19999999999999,1,1,1,3,Hibernating
12550.0,79,1,413.13,2,1,3,6,Potential Loyalist
12551.0,358,1,168.0,1,1,2,4,At Risk
12552.0,40,1,159.4,3,1,2,6,Potential Loyalist
12553.0,8,9,1535.65,4,4,4,12,Champion
12556.0,50,2,285.5,3,2,2,7,Potential Loyalist
12557.0,16,5,5807.12,4,3,4,11,Champion
12558.0,2,2,309.03999999999996,4,2,2,8,Loyal
12559.0,311,2,267.55,1,2,2,5,At Risk
12560.0,5,3,804.83,4,3,3,10,Champion
12561.0,303,1,160.55,1,1,2,4,At Risk
12562.0,8,7,1882.91,4,4,4,12,Champion
12564.0,261,1,252.45,1,1,2,4,At Risk
12565.0,289,1,22.439999999999998,1,1,1,3,Hibernating
12566.0,73,2,144.2,2,2,2,6,Potential Loyalist
12567.0,23,11,3696.8,3,4,4,11,Champion
12569.0,2,26,1726.82,4,4,4,12,Champion
12571.0,40,2,352.77,3,2,3,8,Loyal
12572.0,9,3,487.78000000000003,4,3,3,10,Champion
12573.0,227,1,43.85,1,1,1,3,Hibernating
12574.0,316,1,69.55,1,1,1,3,Hibernating
12576.0,36,5,495.47,3,3,3,9,Loyal
