InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Cancelled,ProductCategory,TotalPrice,Year,Month,Day,Hour,Weekend,ExpenseCategory
C536379,D,DISCOUNT,1.0,2010-12-01 09:41:00,18.0,14527,United Kingdom,True,Other,27.5,2010,12,1,9,False,Medium
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,1.0,2010-12-01 09:49:00,4.65,15311,United Kingdom,True,Decor,4.65,2010,12,1,9,False,Low
C536391,22556,PLASTERS IN TIN CIRCUS PARADE,12.0,2010-12-01 10:24:00,1.65,17548,United Kingdom,True,Other,19.799999999999997,2010,12,1,10,False,Medium
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,24.0,2010-12-01 10:24:00,0.29,17548,United Kingdom,True,Other,6.959999999999999,2010,12,1,10,False,Low
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,24.0,2010-12-01 10:24:00,0.29,17548,United Kingdom,True,Other,6.959999999999999,2010,12,1,10,False,Low
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,24.0,2010-12-01 10:24:00,0.29,17548,United Kingdom,True,Other,6.959999999999999,2010,12,1,10,False,Low
C536391,21484,CHICK GREY HOT WATER BOTTLE,12.0,2010-12-01 10:24:00,3.45,17548,United Kingdom,True,Kitchen,41.400000000000006,2010,12,1,10,False,Medium
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,12.0,2010-12-01 10:24:00,1.65,17548,United Kingdom,True,Other,19.799999999999997,2010,12,1,10,False,Medium
C536391,22553,PLASTERS IN TIN SKULLS,24.0,2010-12-01 10:24:00,1.65,17548,United Kingdom,True,Other,39.599999999999994,2010,12,1,10,False,Medium
C536506,22960,JAM MAKING SET WITH JARS,6.0,2010-12-01 12:38:00,4.25,17897,United Kingdom,True,Decor,25.5,2010,12,1,12,False,Medium
C536543,22632,HAND WARMER RED RETROSPOT,1.0,2010-12-01 14:30:00,2.1,17841,United Kingdom,True,Other,2.1,2010,12,1,14,False,Low
C536543,22355,CHARLOTTE BAG SUKI DESIGN,2.0,2010-12-01 14:30:00,0.85,17841,United Kingdom,True,Accessories,1.7,2010,12,1,14,False,Low
C536548,22244,3 HOOK HANGER MAGIC GARDEN,4.0,2010-12-01 14:33:00,1.95,12472,Germany,True,Home,7.8,2010,12,1,14,False,Low
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,5.0,2010-12-01 14:33:00,1.65,12472,Germany,True,Home,8.25,2010,12,1,14,False,Low
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1.0,2010-12-01 14:33:00,2.95,12472,Germany,True,Decor,2.95,2010,12,1,14,False,Low
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,7.0,2010-12-01 14:33:00,1.25,12472,Germany,True,Decor,8.75,2010,12,1,14,False,Low
C536548,22654,DELUXE SEWING KIT,1.0,2010-12-01 14:33:00,5.95,12472,Germany,True,Other,5.95,2010,12,1,14,False,Low
C536548,22767,TRIPLE PHOTO FRAME CORNICE,2.0,2010-12-01 14:33:00,9.95,12472,Germany,True,Other,19.9,2010,12,1,14,False,Medium
