index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Cancelled
2406,536589,21777,,-10,2010-12-01 16:50:00,0.0,,United Kingdom,False
4347,536764,84952C,,-38,2010-12-02 14:42:00,0.0,,United Kingdom,False
7188,536996,22712,,-20,2010-12-03 15:30:00,0.0,,United Kingdom,False
7189,536997,22028,,-20,2010-12-03 15:30:00,0.0,,United Kingdom,False
7190,536998,85067,,-6,2010-12-03 15:30:00,0.0,,United Kingdom,False
7192,537000,21414,,-22,2010-12-03 15:32:00,0.0,,United Kingdom,False
7193,537001,21653,,-6,2010-12-03 15:33:00,0.0,,United Kingdom,False
7195,537003,85126,,-2,2010-12-03 15:33:00,0.0,,United Kingdom,False
7196,537004,21814,,-30,2010-12-03 15:34:00,0.0,,United Kingdom,False
7197,537005,21692,,-70,2010-12-03 15:35:00,0.0,,United Kingdom,False
7198,537006,21648,,-130,2010-12-03 15:36:00,0.0,,United Kingdom,False
7199,537007,21172,,-80,2010-12-03 15:36:00,0.0,,United Kingdom,False
7200,537008,21161,,-120,2010-12-03 15:37:00,0.0,,United Kingdom,False
7201,537009,84534B,,-80,2010-12-03 15:38:00,0.0,,United Kingdom,False
7202,537010,22162,,-40,2010-12-03 15:38:00,0.0,,United Kingdom,False
7203,537011,22139,,-5,2010-12-03 15:38:00,0.0,,United Kingdom,False
7204,537012,21535,,-12,2010-12-03 15:39:00,0.0,,United Kingdom,False
7205,537013,35965,,-25,2010-12-03 15:40:00,0.0,,United Kingdom,False
7206,537014,21040,,-20,2010-12-03 15:40:00,0.0,,United Kingdom,False
7207,537015,37464,,-14,2010-12-03 15:41:00,0.0,,United Kingdom,False
7208,537016,21836,,-15,2010-12-03 15:41:00,0.0,,United Kingdom,False
7209,537017,47556B,,-69,2010-12-03 15:41:00,0.0,,United Kingdom,False
7210,537018,84562A,,-3,2010-12-03 15:42:00,0.0,,United Kingdom,False
7211,537019,37474,,-15,2010-12-03 15:43:00,0.0,,United Kingdom,False
7212,537020,21807,,-30,2010-12-03 15:43:00,0.0,,United Kingdom,False
7213,537021,21011,,-20,2010-12-03 15:43:00,0.0,,United Kingdom,False
7291,537027,18098C,,-140,2010-12-03 16:36:00,0.0,,United Kingdom,False
7292,537028,21696,,-320,2010-12-03 16:36:00,0.0,,United Kingdom,False
7293,537029,37476,,-6,2010-12-03 16:37:00,0.0,,United Kingdom,False
7313,537032,21275,?,-30,2010-12-03 16:50:00,0.0,,United Kingdom,False
12069,537363,84569B,,-20,2010-12-06 12:35:00,0.0,,United Kingdom,False
12070,537364,21027,,-70,2010-12-06 12:36:00,0.0,,United Kingdom,False
12934,537401,84898F,,-24,2010-12-06 14:37:00,0.0,,United Kingdom,False
13217,537425,84968F,check,-20,2010-12-06 15:35:00,0.0,,United Kingdom,False
13218,537426,84968E,check,-35,2010-12-06 15:36:00,0.0,,United Kingdom,False
13219,537427,84968B,,-21,2010-12-06 15:37:00,0.0,,United Kingdom,False
13264,537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,,United Kingdom,False
14060,537449,21054,,-30,2010-12-07 09:26:00,0.0,,United Kingdom,False
14061,537450,20684,,-19,2010-12-07 09:26:00,0.0,,United Kingdom,False
