StockCode,Description
10002,"<ArrowStringArray>
['INFLATABLE POLITICAL GLOBE', nan]
Length: 2, dtype: str"
10080,"<ArrowStringArray>
['GROOVY CACTUS INFLATABLE', nan, 'CHECK']
Length: 3, dtype: str"
15030,"<ArrowStringArray>
['FAN BLACK FRAME', nan]
Length: 2, dtype: str"
15058A,"<ArrowStringArray>
['BLUE POLKADOT GARDEN PARASOL', nan]
Length: 2, dtype: str"
15060B,"<ArrowStringArray>
['FAIRY CAKE DESIGN UMBRELLA', nan]
Length: 2, dtype: str"
16015,"<ArrowStringArray>
['MEDIUM CHINESE STYLE SCISSOR', nan]
Length: 2, dtype: str"
16033,"<ArrowStringArray>
['MINI HIGHLIGHTER PENS', nan]
Length: 2, dtype: str"
16046,"<ArrowStringArray>
['TEATIME PEN CASE & PENS', nan]
Length: 2, dtype: str"
16049,"<ArrowStringArray>
['TEATIME GEL PENS ASST', nan]
Length: 2, dtype: str"
16156L,"<ArrowStringArray>
['WRAP, CAROUSEL', 'WRAP CAROUSEL']
Length: 2, dtype: str"
16162L,"<ArrowStringArray>
['THE KING GIFT BAG', nan]
Length: 2, dtype: str"
16162M,"<ArrowStringArray>
['ALAN HODGE CANT MAMAGE THIS SECTION', 'THE KING GIFT BAG 25X24X12CM']
Length: 2, dtype: str"
16168M,"<ArrowStringArray>
['FUNKY MONKEY GIFT BAG MEDIUM', 'FOUND']
Length: 2, dtype: str"
16207A,"<ArrowStringArray>
['PINK STRAWBERRY HANDBAG', 'CHECK', nan]
Length: 3, dtype: str"
16207B,"<ArrowStringArray>
['PINK HEART RED HANDBAG', nan]
Length: 2, dtype: str"
16248B,"<ArrowStringArray>
['BLUE HOLE PUNCH', nan]
Length: 2, dtype: str"
17012F,"<ArrowStringArray>
['ORIGAMI SANDLEWOOD INCENSE/CAND SET', 'CHECK']
Length: 2, dtype: str"
17014A,"<ArrowStringArray>
['ORIGAMI VANILLA INCENSE CONES', nan]
Length: 2, dtype: str"
17091A,"<ArrowStringArray>
['LAVENDER INCENSE IN TIN', nan, 'FOUND']
Length: 3, dtype: str"
17107D,"<ArrowStringArray>
['FLOWER FAIRY,5 SUMMER B'DRAW LINERS',        'FLOWER FAIRY 5 DRAWER LINERS',
   'FLOWER FAIRY 5 SUMMER DRAW LINERS']
Length: 3, dtype: str"
17109D,"<ArrowStringArray>
['FLOWER FAIRY INCENSE BOUQUET', 'ADJUSTMENT']
Length: 2, dtype: str"
17136A,"<ArrowStringArray>
['BLUE STONES ON WIRE FOR CANDLE', 'CHECK']
Length: 2, dtype: str"
17165D,"<ArrowStringArray>
['ASS COL LARGE SAND FROG P'WEIGHT', nan]
Length: 2, dtype: str"
18098C,"<ArrowStringArray>
['PORCELAIN BUTTERFLY OIL BURNER', nan]
Length: 2, dtype: str"
20622,"<ArrowStringArray>
['VIPPASSPORT COVER', 'VIP PASSPORT COVER']
Length: 2, dtype: str"
20664,"<ArrowStringArray>
['TROPICAL HOLIDAY PURSE', nan]
Length: 2, dtype: str"
20665,"<ArrowStringArray>
['RED RETROSPOT PURSE', 'DOTCOM']
Length: 2, dtype: str"
20684,"<ArrowStringArray>
['STRAWBERRY DREAM CHILDS UMBRELLA', nan]
Length: 2, dtype: str"
20702,"<ArrowStringArray>
['PINK PADDED MOBILE', nan]
Length: 2, dtype: str"
20713,"<ArrowStringArray>
[      'JUMBO BAG OWLS',                    nan,                'FOUND',
 'WRONGLY MARKED 23343',      'MARKED AS 23343',  'WRONGLY CODED 23343']
Length: 6, dtype: str"
20716,"<ArrowStringArray>
['PARTY FOOD SHOPPER BAG', nan]
Length: 2, dtype: str"
20725,"<ArrowStringArray>
['LUNCH BAG RED RETROSPOT', 'LUNCH BAG RED SPOTTY']
Length: 2, dtype: str"
20731,"<ArrowStringArray>
['POSY CANDY BAG', nan]
Length: 2, dtype: str"
20734,"<ArrowStringArray>
['SILVER MINI TAPE MEASURE', nan]
Length: 2, dtype: str"
20748,"<ArrowStringArray>
['KENSINGTON COFFEE SET', 'FOUND', nan]
Length: 3, dtype: str"
20754,"<ArrowStringArray>
['RETROSPOT RED WASHING UP GLOVES', 'FOUND']
Length: 2, dtype: str"
20760,"<ArrowStringArray>
['GARDEN PATH POCKET BOOK', nan]
Length: 2, dtype: str"
20774,"<ArrowStringArray>
['GREEN FERN NOTEBOOK', nan]
Length: 2, dtype: str"
20778,"<ArrowStringArray>
['GARDEN PATH NOTEBOOK', nan]
Length: 2, dtype: str"
20798,"<ArrowStringArray>
['CLEAR MILKSHAKE GLASS', nan]
Length: 2, dtype: str"
20801,"<ArrowStringArray>
['LARGE PINK GLASS SUNDAE DISH', nan]
Length: 2, dtype: str"
20821,"<ArrowStringArray>
['GOLDIE LOOKING MIRROR', nan]
Length: 2, dtype: str"
20832,"<ArrowStringArray>
['RED FLOCK LOVE HEART PHOTO FRAME', 'CHECK']
Length: 2, dtype: str"
20851,"<ArrowStringArray>
['ZINC HEART LATTICE TRAY OVAL', nan]
Length: 2, dtype: str"
20878,"<ArrowStringArray>
['SET/9 CHRISTMAS T-LIGHTS SCENTED', nan]
Length: 2, dtype: str"
20886,"<ArrowStringArray>
['BOX OF 9 PEBBLE CANDLES', nan]
Length: 2, dtype: str"
20914,"<ArrowStringArray>
['SET/5 RED RETROSPOT LID GLASS BOWLS', 'SET/5 RED SPOTTY LID GLASS BOWLS']
Length: 2, dtype: str"
20941,"<ArrowStringArray>
['FROG CANDLE', nan]
Length: 2, dtype: str"
20956,"<ArrowStringArray>
['PORCELAIN T-LIGHT HOLDERS ASSORTED', nan]
Length: 2, dtype: str"
20964,"<ArrowStringArray>
['POLYESTER FILLER PAD 60X40CM', nan]
Length: 2, dtype: str"
20966,"<ArrowStringArray>
['SANDWICH BATH SPONGE', nan]
Length: 2, dtype: str"
20967,"<ArrowStringArray>
['GREY FLORAL FELTCRAFT SHOULDER BAG', 'AMAZON ADJUSTMENT']
Length: 2, dtype: str"
20973,"<ArrowStringArray>
['12 PENCIL SMALL TUBE WOODLAND', nan]
Length: 2, dtype: str"
20975,"<ArrowStringArray>
['12 PENCILS SMALL TUBE RED RETROSPOT', nan]
Length: 2, dtype: str"
20984,"<ArrowStringArray>
['12 PENCILS TALL TUBE POSY', 'FOUND', nan]
Length: 3, dtype: str"
